,Team,Year,Wins,Champion,MVP,Scoring Leader,Rebound Leader,Assist Leader,WS Leader,DPOY,MIP,6MOY,Coach of Year,All-Stars,All-Defensive,All-NBA,FG%,3P Attempts,3P%,2P Attempts,2P%,FT%,RPG,APG,STL,BLK,TOVPG,PPG,Accolades
312,Cleveland Cavaliers,1981,28,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.467,249,0.289,7360,0.473,0.778,42.7,24.5,7.7,3.9,17,105.7,1
313,Detroit Pistons,1981,21,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.463,84,0.155,6902,0.467,0.725,40.4,22.2,10.8,6,21.5,99.7,0
314,San Antonio Spurs,1981,52,FALSE,0,0,0,0,0,0,0,0,0,1,1,3,0.491,85,0.176,7191,0.495,0.769,47.4,25,8.4,7.8,18.7,112.3,5
315,Sacramento Kings,1981,40,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.5,168,0.292,6983,0.505,0.714,42.5,27.7,8.8,4.7,17.7,106.9,2
316,Houston Rockets,1981,40,FALSE,0,0,1,0,0,0,0,0,0,1,1,2,0.487,118,0.178,7217,0.492,0.77,43.5,25.6,8.6,4.8,17.7,108.3,5
317,Denver Nuggets,1981,37,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.475,145,0.207,7815,0.48,0.783,46.6,24.8,8.8,4.6,17.6,121.8,1
318,Utah Jazz,1981,28,FALSE,0,1,0,0,0,0,0,0,0,1,0,0,0.488,163,0.258,6662,0.494,0.767,40.1,23.8,7.8,4.7,17.4,101.2,2
319,Dallas Mavericks,1981,15,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.462,165,0.279,6763,0.467,0.751,40.1,24.2,6.8,2.6,17.5,101.5,0
320,Phoenix Suns,1981,57,FALSE,0,0,0,0,0,0,0,0,0,3,1,2,0.49,161,0.217,7165,0.496,0.745,45.4,26.9,10.7,5.1,21.1,110,6
321,Los Angeles Lakers,1981,54,FALSE,0,0,0,0,1,0,0,0,0,2,4,3,0.512,94,0.181,7288,0.516,0.729,44.6,28.8,9.9,6.7,19,111.2,10
322,Portland Trail Blazers,1981,45,FALSE,0,0,0,0,0,0,0,0,0,0,2,0,0.496,148,0.169,7387,0.503,0.718,44.3,27.4,9.4,5.9,18.5,110.7,2
323,Golden State Warriors,1981,39,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.489,210,0.286,7074,0.495,0.727,46,24.7,7.5,3.7,18.9,109.8,0
324,Los Angeles Clippers,1981,36,FALSE,0,0,0,0,0,0,0,0,0,0,3,0,0.477,407,0.324,6876,0.486,0.735,40.4,25.6,9.3,3.6,17.2,106.5,3
325,Oklahoma City Thunder,1981,34,FALSE,0,0,0,0,0,0,0,0,0,2,3,3,0.468,117,0.274,7028,0.471,0.763,43.9,23.7,7.7,5.3,18.6,104,8
326,Boston Celtics,1982,63,FALSE,0,0,0,0,0,0,0,0,0,3,3,5,0.499,184,0.266,7150,0.505,0.74,45.6,25.9,8,6.9,17.7,112,11
327,Philadelphia 76ers,1982,58,FALSE,0,0,0,0,0,0,0,1,0,2,4,3,0.518,139,0.295,6835,0.523,0.747,41.7,27.6,10.4,7.6,18,111.2,10
328,Brooklyn Nets,1982,44,FALSE,0,0,0,0,0,0,0,0,0,1,1,2,0.484,146,0.205,7081,0.49,0.728,42.9,25.6,11.2,5.9,20.1,106.7,4
329,Washington Wizards,1982,43,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.474,236,0.25,6932,0.482,0.772,44.3,24.2,7.8,4.8,17,103.5,1
330,New York Knicks,1982,33,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.491,214,0.271,6964,0.498,0.738,42,25.3,8.8,4.1,18.1,106.2,2
331,Milwaukee Bucks,1982,55,FALSE,0,0,0,0,0,1,0,0,1,2,3,2,0.505,164,0.299,6851,0.51,0.753,43.7,27.2,9.3,5.5,19.4,108.4,9
332,Atlanta Hawks,1982,42,FALSE,0,0,0,0,0,0,0,0,0,0,3,0,0.474,128,0.219,6648,0.479,0.768,42.7,22.1,7.4,5.9,16.4,101,3
333,Detroit Pistons,1982,39,FALSE,0,0,0,0,0,0,0,0,0,2,0,0,0.482,213,0.244,7178,0.489,0.751,44.4,24.7,9,6.9,19.9,111.1,2
334,Indiana Pacers,1982,35,FALSE,0,0,0,0,0,0,0,0,0,0,2,0,0.465,316,0.326,6848,0.472,0.741,42.8,23.1,9.2,6,17,102.2,2
335,Chicago Bulls,1982,34,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.501,213,0.254,6515,0.509,0.767,44.5,24.9,7.1,5.9,20,106.6,2
336,Cleveland Cavaliers,1982,15,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.464,137,0.182,7197,0.47,0.747,41,22.8,7.7,4.4,16.1,103.2,1
337,San Antonio Spurs,1982,48,FALSE,0,1,0,1,0,0,0,0,0,1,1,3,0.486,252,0.254,7361,0.494,0.776,46.2,27.5,7.3,6.8,15.8,113.1,7
338,Denver Nuggets,1982,46,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.52,149,0.268,7507,0.525,0.796,43.8,27.7,8.1,4.5,17.9,126.5,2
339,Houston Rockets,1982,46,FALSE,1,0,1,0,1,0,0,0,0,1,2,2,0.476,176,0.284,7190,0.48,0.729,45,24.1,7.9,5.2,16.1,105.9,8
340,Sacramento Kings,1982,30,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.495,130,0.2,7154,0.5,0.719,41,25.1,9.1,4.9,18.4,107.1,1
341,Dallas Mavericks,1982,28,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.469,190,0.289,7034,0.474,0.735,42,25.8,6.9,3.8,16.1,104.6,0
342,Utah Jazz,1982,25,FALSE,0,0,0,0,0,0,0,0,0,1,0,2,0.494,97,0.227,7349,0.498,0.751,42.8,23.1,8.5,4.4,17.5,110.9,3
343,Los Angeles Lakers,1982,57,TRUE,0,0,0,0,0,0,0,0,0,3,4,3,0.517,94,0.138,7491,0.521,0.717,45.9,28.7,10.3,6.3,17.9,114.6,10
344,Oklahoma City Thunder,1982,52,FALSE,0,0,0,0,0,0,0,0,0,3,5,0,0.488,153,0.248,7025,0.494,0.74,44.5,25.6,8.4,5.6,16.5,107.3,8
345,Phoenix Suns,1982,46,FALSE,0,0,0,0,0,0,0,0,0,1,2,3,0.491,174,0.31,6966,0.496,0.758,44.4,27.1,9.2,5.2,18.6,106.2,6
346,Golden State Warriors,1982,45,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.496,325,0.28,7024,0.506,0.717,45.5,22.2,8.4,4.8,17.4,110.9,1
347,Portland Trail Blazers,1982,42,FALSE,0,0,0,0,0,0,0,0,0,0,2,0,0.505,140,0.207,7047,0.511,0.72,42.6,25,8.6,4.5,17,109.8,2
348,Los Angeles Clippers,1982,17,FALSE,0,0,0,0,0,0,0,0,0,0,3,0,0.5,338,0.293,6763,0.511,0.723,40.6,22.9,7.8,3.6,19.1,108.5,3
349,Philadelphia 76ers,1983,65,TRUE,1,0,1,0,1,0,0,0,0,4,3,6,0.499,109,0.229,7103,0.503,0.742,47.9,24.6,9.9,7,19.8,112.1,16
350,Boston Celtics,1983,56,FALSE,0,0,0,0,0,0,0,1,0,2,5,5,0.492,186,0.21,7361,0.499,0.737,46.4,27,9.6,6.4,18.8,112.1,13
351,Brooklyn Nets,1983,49,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.492,149,0.201,6991,0.498,0.705,45,26.1,11.1,7.2,22.8,105.8,2
352,New York Knicks,1983,44,FALSE,0,0,0,0,0,0,0,0,0,0,0,2,0.482,131,0.252,6662,0.486,0.71,40.8,24.8,8.5,4.6,18.4,100,2
353,Washington Wizards,1983,42,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.468,237,0.295,6822,0.474,0.705,43,25,8.9,4.9,19.4,99.2,1
354,Milwaukee Bucks,1983,51,FALSE,0,0,0,0,0,1,0,0,0,2,3,2,0.489,169,0.219,6964,0.495,0.753,43.6,25.8,8.1,6.5,17.6,106.6,8
355,Atlanta Hawks,1983,43,FALSE,0,0,0,0,0,0,0,0,0,0,4,0,0.469,188,0.239,6958,0.475,0.751,43.6,23.7,7,8.1,17.4,101.6,4
356,Detroit Pistons,1983,37,FALSE,0,0,0,0,0,0,0,0,0,2,0,0,0.477,272,0.265,7330,0.484,0.742,46.2,25.7,8.3,7,19,112.7,2
357,Chicago Bulls,1983,28,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.48,209,0.215,7164,0.487,0.737,46.3,25.4,8.1,4.9,21.3,111,1
358,Cleveland Cavaliers,1983,23,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.465,120,0.25,6875,0.469,0.721,43.7,21.2,7.5,3.5,18.8,97.1,1
359,Indiana Pacers,1983,20,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.48,236,0.212,7487,0.488,0.758,43.8,26.2,9.2,5,18.7,108.7,1
360,San Antonio Spurs,1983,53,FALSE,0,0,0,0,0,0,0,0,0,2,0,3,0.504,308,0.305,7032,0.512,0.765,46.7,27.6,8.2,5.7,18.3,114.3,5
361,Denver Nuggets,1983,45,FALSE,0,1,0,0,0,0,0,0,0,2,2,2,0.494,126,0.19,7873,0.499,0.808,45.6,28.5,9.6,4.3,18.2,123.2,7
362,Sacramento Kings,1983,45,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.497,215,0.237,7270,0.505,0.727,44.7,26.3,9.3,5,20.6,113.8,1
363,Dallas Mavericks,1983,38,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.487,185,0.232,7365,0.493,0.752,44.8,27.2,6.7,4.2,16.4,112.7,0
364,Utah Jazz,1983,30,FALSE,0,0,0,0,0,0,0,0,1,0,1,0,0.48,183,0.24,7159,0.486,0.756,44.4,26.5,9.2,7.3,20.5,109,2
365,Houston Rockets,1983,14,FALSE,0,0,0,0,0,0,0,0,0,0,2,0,0.448,271,0.247,7175,0.456,0.725,42.3,23.5,7.9,5.1,19.2,99.3,2
366,Los Angeles Lakers,1983,58,FALSE,0,0,0,1,0,0,0,0,0,3,3,2,0.528,96,0.104,7416,0.533,0.736,44.7,30.7,10.3,5.8,19.3,115,9
367,Phoenix Suns,1983,53,FALSE,0,0,0,0,0,0,0,0,0,1,3,0,0.497,158,0.253,7000,0.502,0.743,44,28,9.1,6,18.8,107,4
368,Oklahoma City Thunder,1983,48,FALSE,0,0,0,0,0,0,0,0,0,3,4,3,0.494,138,0.21,7139,0.5,0.73,45.4,27.8,8.3,5.3,18.7,110,10
369,Portland Trail Blazers,1983,46,FALSE,0,0,0,0,0,0,0,0,0,1,2,0,0.486,150,0.233,6974,0.491,0.738,43.4,24.8,9.1,4.7,18.2,107.4,3
370,Golden State Warriors,1983,30,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.483,150,0.227,7358,0.488,0.737,43.5,24,10.4,5.2,19.6,108.6,0
371,Los Angeles Clippers,1983,25,FALSE,0,0,0,0,0,0,0,0,0,0,4,0,0.475,262,0.244,7372,0.483,0.724,42.7,25.5,10,5,19.5,108.6,4
372,Boston Celtics,1984,62,TRUE,1,0,0,0,0,0,0,1,0,3,6,3,0.5,229,0.24,7006,0.508,0.792,45.1,25.9,8.2,5.2,17.3,112.1,14
373,Philadelphia 76ers,1984,52,FALSE,0,0,1,0,0,0,0,0,0,2,3,6,0.495,107,0.271,6726,0.499,0.754,43.5,24.8,9.8,8,19.9,107.8,12
374,New York Knicks,1984,47,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.495,165,0.285,6672,0.5,0.775,40.5,24.9,9.8,4.4,19.4,106.9,1
375,Brooklyn Nets,1984,45,FALSE,0,0,0,0,0,0,0,0,0,1,1,2,0.498,232,0.211,7026,0.507,0.7,43.1,26.2,9.9,6.1,19.6,110,4
376,Washington Wizards,1984,35,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.484,282,0.252,6625,0.494,0.756,41.6,26.7,6.8,3.9,17.7,102.7,2
377,Milwaukee Bucks,1984,50,FALSE,0,0,0,0,0,0,0,0,1,1,2,3,0.492,232,0.254,6738,0.501,0.74,42.9,25.8,7.8,6,17.3,105.7,7
378,Detroit Pistons,1984,49,FALSE,0,0,0,0,0,0,0,0,0,3,1,2,0.48,141,0.227,7769,0.485,0.775,47.1,27.5,8.5,5.1,16,117.1,6
379,Atlanta Hawks,1984,40,FALSE,0,0,0,0,0,0,0,0,0,0,3,0,0.474,106,0.217,6703,0.478,0.761,40.8,22.3,7.6,6.8,16.2,101.5,3
380,Cleveland Cavaliers,1984,28,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.465,164,0.262,7068,0.47,0.743,43.9,23.5,7.7,4.6,16.2,102.3,1
381,Chicago Bulls,1984,27,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.474,117,0.171,6855,0.479,0.746,42,25.5,8.4,5.5,19.2,103.7,0
382,Indiana Pacers,1984,26,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.483,207,0.232,6923,0.491,0.766,41.5,26.5,10.2,4.9,18.6,104.5,1
383,Utah Jazz,1984,45,FALSE,0,1,0,0,1,1,0,0,0,2,1,0,0.498,317,0.319,6925,0.506,0.781,44.1,27.2,8.5,7.4,18.4,115,6
384,Dallas Mavericks,1984,43,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.5,184,0.228,7051,0.507,0.755,40.9,26.4,7.1,4.4,15.9,110.4,2
385,Denver Nuggets,1984,38,FALSE,0,0,0,0,0,0,0,0,0,2,2,2,0.493,255,0.302,7728,0.499,0.818,43.6,30.3,8.7,4.3,16.4,123.7,6
386,Sacramento Kings,1984,38,FALSE,0,0,0,0,0,0,0,0,0,0,2,0,0.486,189,0.275,7041,0.492,0.777,41.7,27.2,8.7,4.7,18.3,110,2
387,San Antonio Spurs,1984,37,FALSE,0,0,0,0,0,0,0,0,0,1,0,2,0.506,263,0.3,7458,0.514,0.755,45.8,28.8,8.4,6,17.6,120.3,3
388,Houston Rockets,1984,29,FALSE,0,0,0,0,0,0,0,0,0,1,3,0,0.495,154,0.195,7379,0.501,0.74,44.9,26.9,7.6,6.3,19,110.6,4
389,Los Angeles Lakers,1984,54,FALSE,0,0,0,1,0,0,0,0,0,2,3,5,0.532,226,0.257,7024,0.54,0.754,43.8,29.9,8.9,5.8,19.2,115.6,11
390,Portland Trail Blazers,1984,48,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.505,129,0.194,7060,0.511,0.754,42,25.4,9.9,4.8,18.1,113.1,2
391,Oklahoma City Thunder,1984,42,FALSE,0,0,0,0,0,0,0,0,0,1,2,0,0.488,140,0.193,6943,0.494,0.78,41.4,27.2,7.8,4.3,16.6,108.1,3
392,Phoenix Suns,1984,41,FALSE,0,0,0,0,0,0,0,0,0,1,2,0,0.509,291,0.254,6929,0.52,0.759,41,27,8.5,4.7,17.7,111,3
393,Golden State Warriors,1984,37,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.467,226,0.243,7308,0.474,0.743,43.4,22.4,10.1,4.2,18.5,109.9,0
394,Los Angeles Clippers,1984,30,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.496,128,0.188,7197,0.502,0.736,45,24.2,6.9,4.7,18.5,110.7,1
395,Boston Celtics,1985,63,FALSE,1,0,0,0,1,0,0,0,0,3,6,3,0.508,309,0.356,7016,0.515,0.806,45.7,27.9,7.9,5,16.2,114.8,14
396,Philadelphia 76ers,1985,58,FALSE,0,0,1,0,0,0,0,0,0,2,4,4,0.492,224,0.263,6768,0.5,0.803,44.7,24.4,10,6.5,19.2,112.9,11
397,Brooklyn Nets,1985,42,FALSE,0,0,0,0,0,0,0,0,0,1,2,0,0.49,224,0.232,7221,0.498,0.729,43.4,26.4,9.4,5.1,16.5,109.5,3
398,Washington Wizards,1985,40,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.479,398,0.274,6985,0.49,0.743,41.5,25.5,8.6,4.8,15.6,105.5,1
399,New York Knicks,1985,24,FALSE,0,1,0,0,0,0,0,0,0,1,0,3,0.484,198,0.258,6903,0.49,0.726,39.2,24.4,9.2,3.3,17.8,105.2,5
400,Milwaukee Bucks,1985,59,FALSE,0,0,0,0,0,0,0,0,0,2,2,2,0.491,294,0.303,6962,0.499,0.757,44,26.4,8.4,5.9,16.9,110.9,6
401,Detroit Pistons,1985,46,FALSE,0,0,0,1,0,0,0,0,0,2,1,3,0.48,199,0.226,7800,0.487,0.788,48,28.1,8.4,4.8,16.4,116,7
402,Chicago Bulls,1985,38,FALSE,0,0,0,0,0,0,0,0,0,1,2,0,0.5,161,0.18,6748,0.507,0.784,42,24.3,7.6,5.7,17.8,108.7,3
403,Cleveland Cavaliers,1985,36,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.471,335,0.287,7029,0.48,0.749,44.5,25.6,7.6,5.8,16.9,108.6,1
404,Atlanta Hawks,1985,34,FALSE,0,0,0,0,0,0,0,0,1,0,2,0,0.484,235,0.311,6884,0.49,0.752,42.8,24.5,8.1,6.6,18,106.6,3
405,Indiana Pacers,1985,22,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.476,155,0.194,7169,0.482,0.744,46.6,23.7,7.6,4.5,19.8,108.3,0
406,Denver Nuggets,1985,52,FALSE,0,0,0,0,0,0,0,0,0,2,3,0,0.486,235,0.311,7741,0.491,0.785,44.3,27.6,10.9,5.2,16.9,120,5
407,Houston Rockets,1985,48,FALSE,0,0,0,0,0,0,0,0,0,2,3,0,0.504,186,0.22,7254,0.511,0.699,45.4,27.3,8.3,7.3,19.6,111.2,5
408,Dallas Mavericks,1985,44,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.489,443,0.343,6837,0.498,0.793,42,26.2,7,4.1,14.4,111.2,2
409,Utah Jazz,1985,41,FALSE,0,0,0,0,0,0,0,0,0,1,2,2,0.476,307,0.336,6995,0.482,0.772,44.3,26.1,8.7,8.5,19.2,109,5
410,San Antonio Spurs,1985,41,FALSE,0,0,0,0,0,1,1,0,0,1,1,0,0.513,202,0.272,7000,0.52,0.763,43.9,28.2,9.2,5.4,18.8,114.8,4
411,Sacramento Kings,1985,31,FALSE,0,0,0,0,0,0,0,0,0,0,2,0,0.504,238,0.265,7037,0.512,0.779,42.6,28.6,8.1,3.7,19.4,114.8,2
412,Los Angeles Lakers,1985,62,TRUE,0,0,0,0,0,0,0,0,0,2,3,6,0.545,295,0.305,6959,0.555,0.763,44.1,31.4,8.5,5.9,18.7,118.2,11
413,Portland Trail Blazers,1985,42,FALSE,0,0,0,0,0,0,0,0,0,0,0,2,0.503,202,0.252,7172,0.51,0.751,42.7,27.1,10,6.3,18.1,115.5,2
414,Phoenix Suns,1985,36,FALSE,0,0,0,0,0,0,0,0,0,1,2,0,0.491,307,0.283,6837,0.5,0.771,42.1,28.5,8.9,4.3,19.3,108,3
415,Oklahoma City Thunder,1985,31,FALSE,0,0,0,0,0,0,0,0,0,1,2,0,0.474,185,0.243,6725,0.481,0.771,40.3,26.6,7.9,4.2,18.2,102.1,3
416,Los Angeles Clippers,1985,31,FALSE,0,0,0,0,0,0,0,1,0,1,1,0,0.495,188,0.298,6931,0.501,0.758,43.9,23.6,6.5,6.1,19.4,107.1,3
417,Golden State Warriors,1985,22,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.463,397,0.282,7158,0.473,0.768,42.3,21.5,9.8,3.5,17.8,110.4,0
418,Boston Celtics,1986,67,TRUE,1,0,0,0,1,0,0,0,0,3,5,3,0.508,393,0.351,6919,0.517,0.794,46.4,29.1,7.8,6.2,16.6,114.1,13
419,Philadelphia 76ers,1986,54,FALSE,0,0,0,0,0,0,0,0,0,3,3,3,0.487,224,0.228,6834,0.495,0.758,45.2,24.6,10.5,6,19.5,110.4,9
420,Washington Wizards,1986,39,FALSE,0,0,0,0,0,0,0,0,0,1,3,0,0.463,408,0.284,6740,0.474,0.745,42.7,21.3,7.6,8.7,16.4,103,4
421,Brooklyn Nets,1986,39,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.486,214,0.201,7087,0.495,0.755,44.7,26,9.1,4.2,19.2,109.1,2
422,New York Knicks,1986,23,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.46,239,0.343,6795,0.465,0.686,39.6,22.9,8.7,3.8,17.5,98.7,1
423,Milwaukee Bucks,1986,57,FALSE,0,0,0,0,0,0,0,1,0,1,2,4,0.493,382,0.327,6928,0.502,0.764,44,26.3,9.8,5.6,16.7,114.5,8
424,Atlanta Hawks,1986,50,FALSE,0,1,0,0,0,0,0,0,0,1,2,0,0.49,166,0.199,6863,0.497,0.732,44.6,24.7,9,5.3,18.1,108.6,4
425,Detroit Pistons,1986,46,FALSE,0,0,1,0,0,0,0,0,0,1,2,3,0.484,182,0.302,7568,0.489,0.783,45.6,28.3,9,4.1,16.4,114.2,7
426,Chicago Bulls,1986,30,FALSE,0,0,0,0,0,0,0,0,0,0,2,2,0.481,317,0.278,6910,0.49,0.769,43.4,24.5,7.4,4.9,17.5,109.3,4
427,Cleveland Cavaliers,1986,29,FALSE,0,0,0,0,0,0,0,0,0,0,2,0,0.48,391,0.338,6848,0.489,0.752,43.2,25.2,7.6,5.3,17.2,107.8,2
428,Indiana Pacers,1986,26,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.481,143,0.161,7007,0.488,0.739,45.7,26.3,8,4.6,18.5,103.9,1
429,Houston Rockets,1986,51,FALSE,0,0,0,0,0,0,0,0,0,2,2,2,0.49,310,0.274,7361,0.499,0.73,45.7,28.3,9.1,6.7,16.8,114.4,6
430,Denver Nuggets,1986,47,FALSE,0,0,0,0,0,0,0,0,0,1,3,0,0.471,305,0.233,7563,0.48,0.798,43.2,26.1,10.1,5.1,16.3,114.8,4
431,Dallas Mavericks,1986,44,FALSE,0,0,0,0,0,0,1,0,0,1,1,0,0.501,446,0.316,6808,0.513,0.776,42.8,25.7,7.4,4.5,15.7,115.3,3
432,Utah Jazz,1986,42,FALSE,0,0,0,0,0,0,0,0,0,1,3,0,0.488,169,0.207,6914,0.494,0.716,43.3,26.8,8.7,8.1,18.5,108.2,4
433,Sacramento Kings,1986,37,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.49,134,0.224,7086,0.495,0.778,42.8,28.1,7.3,4.7,18.7,108.8,1
434,San Antonio Spurs,1986,35,FALSE,0,0,0,0,0,0,0,0,0,2,1,0,0.506,196,0.235,6908,0.514,0.746,42.5,27.6,9.8,4.8,19.8,111.2,3
435,Los Angeles Lakers,1986,62,FALSE,0,0,0,1,0,1,0,0,0,3,4,5,0.522,409,0.337,6934,0.533,0.778,44.6,29.7,8.5,5.1,17.9,117.3,14
436,Portland Trail Blazers,1986,40,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.496,275,0.269,7006,0.505,0.765,42.3,26.6,10.5,4.3,18.6,115.1,2
437,Phoenix Suns,1986,32,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.503,183,0.208,6810,0.511,0.726,42.5,27.7,9.4,4.6,21.5,110,1
438,Los Angeles Clippers,1986,32,FALSE,0,0,0,0,0,0,0,0,0,1,2,0,0.473,229,0.279,6936,0.479,0.77,41.7,24,8.5,6.1,18.4,108.6,3
439,Oklahoma City Thunder,1986,31,FALSE,0,0,0,0,0,0,0,0,0,0,3,0,0.472,300,0.263,6759,0.482,0.779,41.5,24.1,9.1,3.6,17.5,104.4,3
440,Golden State Warriors,1986,30,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.482,278,0.313,7289,0.489,0.76,44.1,24.6,9.2,4.3,17.1,113.4,0
441,Boston Celtics,1987,59,FALSE,0,0,0,0,0,0,0,0,0,3,5,3,0.517,565,0.366,6486,0.53,0.808,42.9,29.5,6.8,6.4,15.9,112.6,11
442,Philadelphia 76ers,1987,45,FALSE,0,0,1,0,0,0,0,0,0,3,2,2,0.491,340,0.259,6452,0.503,0.753,42.7,23.7,9.4,6.6,18.5,106.5,8
443,Washington Wizards,1987,42,FALSE,0,0,0,0,0,0,0,0,0,2,3,0,0.454,218,0.197,7179,0.461,0.765,44.1,21.3,9.2,8.4,15.9,106,5
444,Brooklyn Nets,1987,24,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.476,449,0.323,6634,0.487,0.767,43.6,24.3,7.8,4.8,19.7,108.5,1
445,New York Knicks,1987,24,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.474,375,0.333,6648,0.482,0.73,39.9,23.7,8.6,4.8,17.3,103.8,1
446,Atlanta Hawks,1987,57,FALSE,0,0,0,0,0,0,0,0,0,1,1,3,0.481,425,0.318,6716,0.491,0.759,46.7,25.3,8.5,6.2,15.6,110,5
447,Detroit Pistons,1987,52,FALSE,0,0,0,0,0,0,0,0,0,2,3,3,0.49,169,0.231,7068,0.496,0.765,47.5,24.6,7.8,5.3,17.3,111.2,8
448,Milwaukee Bucks,1987,50,FALSE,0,0,0,0,0,0,0,0,0,0,3,2,0.475,572,0.323,6710,0.488,0.766,42,24.9,10.3,4.8,15.4,110.4,5
449,Indiana Pacers,1987,41,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.472,316,0.297,7008,0.479,0.782,43.9,26.5,8.5,3.8,15.6,106.1,0
450,Chicago Bulls,1987,40,FALSE,0,1,0,0,1,1,0,0,0,1,2,0,0.473,299,0.261,6856,0.482,0.778,44.5,26.1,8.3,5.3,15.3,104.8,6
451,Cleveland Cavaliers,1987,31,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.47,338,0.24,6784,0.482,0.697,44.8,23.3,8.2,6.8,19.7,104.4,0
452,Dallas Mavericks,1987,55,FALSE,0,0,0,0,0,0,0,1,0,2,1,0,0.487,653,0.354,6720,0.5,0.791,45.3,24.6,8.4,5.2,14.7,116.7,4
453,Utah Jazz,1987,44,FALSE,0,0,0,0,0,0,0,0,0,0,3,0,0.464,448,0.31,7066,0.474,0.726,44.5,27.3,10.2,7.7,17.1,107.9,3
454,Houston Rockets,1987,42,FALSE,0,0,0,0,0,0,0,0,0,1,2,2,0.477,324,0.275,6938,0.487,0.741,44.8,27.2,8,6.8,16.9,106.9,5
455,Denver Nuggets,1987,37,FALSE,0,0,0,0,0,0,0,0,1,1,3,2,0.471,391,0.271,7560,0.481,0.769,44.7,28.3,9.2,5.1,14.8,116.7,7
456,Sacramento Kings,1987,29,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0.475,307,0.251,7106,0.485,0.796,45.4,26.6,6.3,4.8,17.1,110.9,1
457,San Antonio Spurs,1987,28,FALSE,0,0,0,0,0,0,1,0,0,1,1,2,0.474,403,0.29,7053,0.484,0.742,44.3,27.1,9.6,4,17.1,108.3,5
458,Los Angeles Lakers,1987,65,TRUE,1,0,0,1,0,0,0,0,0,3,3,6,0.516,447,0.367,6798,0.526,0.789,44.4,29.6,8.9,5.9,16.6,117.8,14
459,Portland Trail Blazers,1987,49,FALSE,0,0,0,0,0,0,1,0,0,0,1,0,0.504,339,0.289,6910,0.514,0.775,43.8,28.8,9.4,4.7,18.9,117.9,2
460,Golden State Warriors,1987,42,FALSE,0,0,0,0,0,0,0,0,0,2,0,0,0.479,364,0.319,7048,0.487,0.78,43.2,25.4,8.7,3.9,16.5,112,2
461,Oklahoma City Thunder,1987,39,FALSE,0,0,0,0,0,0,0,0,0,1,3,0,0.482,571,0.335,6880,0.494,0.758,46,26.6,8.6,5.5,18.4,113.7,4
462,Phoenix Suns,1987,36,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.497,252,0.242,6938,0.506,0.76,42.4,28.7,8.6,4.8,18.3,111.1,2
