,Team,Year,Wins,Champion,MVP,Scoring Leader,Rebound Leader,Assist Leader,WS Leader,DPOY,MIP,6MOY,Coach of Year,All-Stars,All-Defensive,All-NBA,FG%,3P Attempts,3P%,2P Attempts,2P%,FT%,RPG,APG,STL,BLK,TOVPG,PPG,Accolades
81,Oklahoma City Thunder,1968,23,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.439,0,0,8593,0.439,0.719,65.1,24.4,0,0,0,118.7,0
82,Houston Rockets,1968,15,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.417,0,0,8547,0.417,0.711,66.1,22.4,0,0,0,112.4,0
83,Washington Wizards,1969,57,FALSE,1,0,0,0,0,0,0,0,0,3,1,0,0.44,0,0,8567,0.44,0.732,60.5,20.5,0,0,0,116.4,5
84,Philadelphia 76ers,1969,55,FALSE,0,0,0,0,0,0,0,0,0,2,0,0,0.454,0,0,8274,0.454,0.725,55,23.3,0,0,0,118.9,2
85,New York Knicks,1969,54,FALSE,0,0,0,0,1,0,0,0,1,1,4,0,0.459,0,0,7813,0.459,0.736,51.8,25.3,0,0,0,110.8,7
86,Boston Celtics,1969,48,TRUE,0,0,0,0,0,0,0,0,0,2,3,0,0.431,0,0,8316,0.431,0.729,59,23.8,0,0,0,111,5
87,Sacramento Kings,1969,41,FALSE,0,0,0,1,0,0,0,0,0,2,0,0,0.46,0,0,7742,0.46,0.751,55.2,24.2,0,0,0,114.5,3
88,Detroit Pistons,1969,32,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.451,0,0,7997,0.451,0.708,54.5,21.4,0,0,0,114.1,2
89,Milwaukee Bucks,1969,27,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.428,0,0,8258,0.428,0.745,57.6,23,0,0,0,110.2,2
90,Los Angeles Lakers,1969,55,FALSE,0,0,1,0,0,0,0,0,0,2,2,0,0.469,0,0,7620,0.469,0.65,57.9,25.2,0,0,0,112.2,5
91,Atlanta Hawks,1969,48,FALSE,0,0,0,0,0,0,0,0,0,2,3,0,0.46,0,0,7844,0.46,0.687,56.1,25.2,0,0,0,111.3,5
92,Golden State Warriors,1969,41,FALSE,0,0,0,0,0,0,0,0,0,2,2,0,0.415,0,0,8218,0.415,0.719,62.3,22.2,0,0,0,109.1,4
93,Houston Rockets,1969,37,FALSE,0,1,0,0,0,0,0,0,0,2,1,0,0.428,0,0,8631,0.428,0.682,61.3,23.5,0,0,0,115.3,4
94,Chicago Bulls,1969,33,FALSE,0,0,0,0,0,0,0,0,0,1,2,0,0.418,0,0,8021,0.418,0.728,55.5,19.5,0,0,0,104.7,3
95,Oklahoma City Thunder,1969,30,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.435,0,0,8149,0.435,0.707,54.9,23.5,0,0,0,112.1,1
96,Phoenix Suns,1969,16,FALSE,0,0,0,0,0,0,0,0,0,2,0,0,0.43,0,0,8242,0.43,0.705,55,23.4,0,0,0,111.7,2
97,New York Knicks,1970,60,TRUE,1,0,0,0,0,0,0,0,0,3,4,0,0.477,0,0,7975,0.477,0.733,48.9,26,0,0,0,115,8
98,Milwaukee Bucks,1970,56,FALSE,0,0,0,0,0,0,0,0,0,2,2,0,0.488,0,0,8041,0.488,0.732,53.9,26.4,0,0,0,118.8,4
99,Washington Wizards,1970,50,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.458,0,0,8567,0.458,0.773,57.1,22.9,0,0,0,120.7,2
100,Philadelphia 76ers,1970,42,FALSE,0,0,0,0,0,0,0,0,0,2,0,0,0.469,0,0,8345,0.469,0.752,54.4,25.9,0,0,0,121.9,2
101,Sacramento Kings,1970,36,FALSE,0,0,0,0,0,0,0,0,0,2,1,0,0.455,0,0,8271,0.455,0.733,50.8,24.3,0,0,0,117.3,3
102,Boston Celtics,1970,34,FALSE,0,0,0,0,0,0,0,0,0,1,3,0,0.443,0,0,8235,0.443,0.786,52.9,22.9,0,0,0,114.9,4
103,Detroit Pistons,1970,31,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.466,0,0,7657,0.466,0.734,46.7,20.8,0,0,0,112.8,1
104,Atlanta Hawks,1970,48,FALSE,0,0,0,0,0,0,0,0,0,3,2,0,0.483,0,0,7907,0.483,0.754,51.3,26.1,0,0,0,117.6,5
105,Los Angeles Lakers,1970,46,FALSE,0,1,0,0,1,0,0,0,0,2,2,0,0.461,0,0,7952,0.461,0.754,50.7,24.8,0,0,0,113.7,6
106,Chicago Bulls,1970,39,FALSE,0,0,0,0,0,0,0,0,1,1,2,0,0.444,0,0,8133,0.444,0.772,53.5,26,0,0,0,114.9,4
107,Phoenix Suns,1970,39,FALSE,0,0,0,0,0,0,0,0,0,2,1,0,0.468,0,0,7856,0.468,0.744,51,25.3,0,0,0,119.3,3
108,Oklahoma City Thunder,1970,36,FALSE,0,0,0,1,0,0,0,0,0,2,0,0,0.462,0,0,8029,0.462,0.761,52.6,27,0,0,0,116.9,3
109,Golden State Warriors,1970,30,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.432,0,0,8224,0.432,0.757,58.2,22.7,0,0,0,111.1,2
110,Houston Rockets,1970,27,FALSE,0,0,1,0,0,0,0,0,0,1,1,0,0.436,0,0,8867,0.436,0.733,58.4,24.8,0,0,0,118.7,3
111,New York Knicks,1971,52,FALSE,0,0,0,0,0,0,0,0,0,3,4,0,0.45,0,0,8076,0.45,0.74,49.7,21.7,0,0,0,110.1,7
112,Philadelphia 76ers,1971,47,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.45,0,0,8026,0.45,0.741,54.1,24.1,0,0,0,114.8,1
113,Boston Celtics,1971,44,FALSE,0,0,0,0,0,0,0,0,0,2,4,0,0.442,0,0,8616,0.442,0.755,58.9,25,0,0,0,117.2,6
114,Los Angeles Clippers,1971,22,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.436,0,0,7860,0.436,0.721,52,23.9,0,0,0,105.5,1
115,Washington Wizards,1971,42,FALSE,0,0,0,0,0,0,0,0,0,3,2,0,0.442,0,0,8331,0.442,0.754,55.5,21.6,0,0,0,112.9,5
116,Atlanta Hawks,1971,36,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.465,0,0,7779,0.465,0.713,54.5,23.2,0,0,0,114,2
117,Sacramento Kings,1971,33,FALSE,0,0,0,1,0,0,0,0,0,2,1,0,0.454,0,0,8374,0.454,0.725,50.6,24.7,0,0,0,116,4
118,Cleveland Cavaliers,1971,15,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.424,0,0,7778,0.424,0.746,48.6,25.2,0,0,0,102.1,1
119,Milwaukee Bucks,1971,66,TRUE,1,1,0,0,1,0,0,0,0,2,2,0,0.509,0,0,7803,0.509,0.742,53,27.4,0,0,0,118.4,7
120,Chicago Bulls,1971,51,FALSE,0,0,0,0,0,0,0,0,0,2,2,0,0.452,0,0,7660,0.452,0.79,52.7,26.1,0,0,0,110.6,4
121,Phoenix Suns,1971,48,FALSE,0,0,0,0,0,0,0,0,0,2,1,0,0.437,0,0,8021,0.437,0.756,54.2,23.5,0,0,0,113.8,3
122,Detroit Pistons,1971,45,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.449,0,0,7730,0.449,0.745,47.8,20.7,0,0,0,110.1,1
123,Los Angeles Lakers,1971,48,FALSE,0,0,1,0,0,0,0,0,0,2,2,0,0.476,0,0,7857,0.476,0.711,52.1,26.9,0,0,0,114.8,5
124,Golden State Warriors,1971,41,FALSE,0,0,0,0,0,0,0,0,0,2,1,0,0.448,0,0,7709,0.448,0.76,56.6,23.1,0,0,0,107.1,3
125,Houston Rockets,1971,40,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.421,0,0,8426,0.421,0.749,57.1,23.4,0,0,0,113.2,2
126,Oklahoma City Thunder,1971,38,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.456,0,0,8034,0.456,0.753,54.3,25,0,0,0,115,1
127,Portland Trail Blazers,1971,29,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.435,0,0,8562,0.435,0.758,51.3,27.2,0,0,0,115.5,1
128,Boston Celtics,1972,56,FALSE,0,0,0,0,0,0,0,0,1,3,4,0,0.453,0,0,8431,0.453,0.777,54.4,27.2,0,0,0,115.6,8
129,New York Knicks,1972,48,FALSE,0,0,0,0,0,0,0,0,0,2,4,0,0.459,0,0,7673,0.459,0.757,47.7,24.2,0,0,0,107.1,6
130,Philadelphia 76ers,1972,30,FALSE,0,0,0,0,0,0,0,0,0,2,1,0,0.444,0,0,8057,0.444,0.725,52.7,23.4,0,0,0,112.2,3
131,Los Angeles Clippers,1972,22,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.451,0,0,7560,0.451,0.698,48.5,21.5,0,0,0,102,1
132,Washington Wizards,1972,38,FALSE,0,0,0,0,0,0,0,0,0,3,2,0,0.45,0,0,7748,0.45,0.759,50.7,22.1,0,0,0,107.1,5
133,Atlanta Hawks,1972,36,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.46,0,0,7570,0.46,0.741,49.8,23.1,0,0,0,109.5,2
134,Sacramento Kings,1972,30,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.459,0,0,7496,0.459,0.756,45.8,24.6,0,0,0,107.8,2
135,Cleveland Cavaliers,1972,23,FALSE,0,0,0,0,0,0,0,0,0,2,0,0,0.428,0,0,8074,0.428,0.736,50,25.1,0,0,0,105.8,2
136,Milwaukee Bucks,1972,63,FALSE,1,1,0,0,1,0,0,0,0,2,2,0,0.498,0,0,7653,0.498,0.739,52.1,26.3,0,0,0,114.6,7
137,Chicago Bulls,1972,57,FALSE,0,0,0,0,0,0,0,0,0,1,3,0,0.451,0,0,7853,0.451,0.755,53.3,25.5,0,0,0,111.2,4
138,Phoenix Suns,1972,49,FALSE,0,0,0,0,0,0,0,0,0,2,1,2,0.457,0,0,7877,0.457,0.779,52.5,24.1,0,0,0,116.3,5
139,Detroit Pistons,1972,26,FALSE,0,0,0,0,0,0,0,0,0,2,0,0,0.454,0,0,7665,0.454,0.747,48.4,20.6,0,0,0,109.1,2
140,Los Angeles Lakers,1972,69,TRUE,0,0,1,1,0,0,0,0,0,3,3,0,0.49,0,0,7998,0.49,0.734,56.4,27.2,0,0,0,121,8
141,Golden State Warriors,1972,51,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.439,0,0,7923,0.439,0.767,54.3,22.6,0,0,0,108.2,2
142,Oklahoma City Thunder,1972,47,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.464,0,0,7457,0.464,0.765,50.3,24.1,0,0,0,109.2,1
143,Houston Rockets,1972,34,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.434,0,0,8277,0.434,0.748,54.1,21.7,0,0,0,109.7,2
144,Portland Trail Blazers,1972,18,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.442,0,0,7840,0.442,0.736,48.7,25.5,0,0,0,106.8,1
145,Boston Celtics,1973,68,FALSE,1,0,0,0,0,0,0,0,0,3,5,0,0.448,0,0,8511,0.448,0.78,58.6,28.3,0,0,0,112.7,9
146,New York Knicks,1973,57,TRUE,0,0,0,0,0,0,0,0,0,3,3,0,0.467,0,0,7764,0.467,0.78,47.3,26.7,0,0,0,105,6
147,Los Angeles Clippers,1973,21,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.449,0,0,7877,0.449,0.712,50.7,27,0,0,0,103.3,1
