,Team,Year,Wins,Champion,MVP,Scoring Leader,Rebound Leader,Assist Leader,WS Leader,DPOY,MIP,6MOY,Coach of Year,All-Stars,All-Defensive,All-NBA,FG%,3P Attempts,3P%,2P Attempts,2P%,FT%,RPG,APG,STL,BLK,TOVPG,PPG,Accolades,Franchise ID
37,New York Knicks,1964.0,22.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.445,0.0,0.0,7888.0,0.445,0.684,63.3,19.5,0.0,0.0,0.0,112.2,2.0,Knicks
38,Golden State Warriors,1964.0,48.0,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.438,0.0,0.0,7779.0,0.438,0.638,68.7,23.7,0.0,0.0,0.0,107.7,8.0,Warriors
39,Atlanta Hawks,1964.0,46.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.43,0.0,0.0,7776.0,0.43,0.757,62.0,23.8,0.0,0.0,0.0,110.0,6.0,Hawks
40,Los Angeles Lakers,1964.0,42.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.44,0.0,0.0,7438.0,0.44,0.766,62.8,21.0,0.0,0.0,0.0,109.7,10.0,Lakers
41,Washington Wizards,1964.0,31.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.44,0.0,0.0,7862.0,0.44,0.688,68.3,17.8,0.0,0.0,0.0,111.9,3.0,Wizards
42,Detroit Pistons,1964.0,23.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.421,0.0,0.0,7943.0,0.421,0.718,64.3,20.4,0.0,0.0,0.0,107.8,5.0,Pistons
43,Boston Celtics,1965.0,62.0,True,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.414,0.0,0.0,8609.0,0.414,0.731,71.9,22.2,0.0,0.0,0.0,112.8,12.0,Celtics
44,Sacramento Kings,1965.0,48.0,False,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.447,0.0,0.0,7797.0,0.447,0.757,67.3,23.0,0.0,0.0,0.0,114.2,10.0,Kings
45,Philadelphia 76ers,1965.0,40.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,5.0,0.422,0.0,0.0,8028.0,0.422,0.738,65.6,21.2,0.0,0.0,0.0,112.5,12.0,76ers
46,New York Knicks,1965.0,31.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.426,0.0,0.0,7834.0,0.426,0.713,65.1,19.4,0.0,0.0,0.0,107.4,3.0,Knicks
